CITATION,Positive,Objective,Negative
we analyzed a set of articles and identified six major operations that can be used for editing the extracted sentences including removing extraneous phrases from an extracted sentence combining a reduced sentence with other sentences syntactic transformation substituting phrases in an extracted sentence with their paraphrases substituting phrases with more general or specific descriptions and reordering the extracted sentences jing and mckeown 1999 jing and mckeown 2000 ,0,1,0
table 3 example compressions compression avglen rating baseline 970 193 bt2step 2206 321 spade 1909 310 humans 2007 383 table 4 mean ratings for automatic compressions nally we added a simple baseline compression algorithm proposed by jing and mckeown 2000 which removed all prepositional phrases clauses toinfinitives and gerunds ,0,1,0
53 related works and discussion our twostep model essentially belongs to the same category as the works of mani et al 1999 and jing and mckeown 2000 ,0,1,0
1999 proposed a summarization system based on the draft and revision jing and mckeown 2000 proposed a system based on extraction and cutandpaste generation our abstractors performed the same cutandpaste operations that jing and mckeown noted in their work and we think that our twostep model will be a reasonable starting point for our subsequent research ,0,1,0
we found that the deletion of lead parts did not occur very often in our summary unlike the case of jing and mckeown 2000 ,0,1,0
al 1994 compression of sentences with automatic translation approaches knight and marcu 2000 hidden markov model jing and mckeown 2000 topic signatures based methods lin and hovy 2000 lacatusu et al 2006 are among the most popular techniques that have been used in the summarization systems of this category ,1,0,0
because of this it is generally accepted that some kind of postprocessing should be performed to improve the final result by shortening fusing or otherwise revising the material grefenstette 1998 mani gates and bloedorn 1999 jing and mckeown 2000 barzilay et al 2000 knight and marcu 2000 ,0,1,0
in addition to sentence fusion compression algorithms chandrasekar doran and bangalore 1996 grefenstette 1998 mani gates and bloedorn 1999 knight and marcu 2002 jing and mckeown 2000 reizler et al 2003 and methods for expansion of a multiparallel corpus pang knight and marcu 2003 are other instances of such methods ,0,1,0
while earlier approaches for text compression were based on symbolic reduction rules grefenstette 1998 mani gates and bloedorn 1999 more recent approaches use an aligned corpus of documents and their human written summaries to determine which constituents can be reduced knight and marcu 2002 jing and mckeown 2000 reizler et al 2003 ,0,1,0
while this approach exploits only syntactic and lexical information jing and mckeown 2000 also rely on cohesion information derived from word distribution in a text phrases that are linked to a local context are retained while phrases that have no such links are dropped ,0,1,0
