CITATION,Positive,Objective,Negative
we analyzed a set of articles and identified six major operations that can be used for editing the extracted sentences including removing extraneous phrases from an extracted sentence combining a reduced sentence with other sentences syntactic transformation substituting phrases in an extracted sentence with their paraphrases substituting phrases with more general or specific descriptions and reordering the extracted sentences jing and mckeown 1999 jing and mckeown 2000 ,0,1,0
table 3 example compressions compression avglen rating baseline 970 193 bt2step 2206 321 spade 1909 310 humans 2007 383 table 4 mean ratings for automatic compressions nally we added a simple baseline compression algorithm proposed by jing and mckeown 2000 which removed all prepositional phrases clauses toinfinitives and gerunds ,0,1,0
53 related works and discussion our twostep model essentially belongs to the same category as the works of mani et al 1999 and jing and mckeown 2000 ,0,1,0
automatic text summarization approaches have offered reasonably wellperforming approximations for identifiying important sentences lin and hovy 2002 schiffman et al 2002 erkan and radev 2004 mihalcea and tarau 2004 daume iii and marcu 2006 but not surprisingly text regeneration has been a major challange despite some work on subsentential modification jing and mckeown 2000 knight and marcu 2000 barzilay and mckeown 2005 ,0,1,0
al 1994 compression of sentences with automatic translation approaches knight and marcu 2000 hidden markov model jing and mckeown 2000 topic signatures based methods lin and hovy 2000 lacatusu et al 2006 are among the most popular techniques that have been used in the summarization systems of this category ,1,0,0
because of this it is generally accepted that some kind of postprocessing should be performed to improve the final result by shortening fusing or otherwise revising the material grefenstette 1998 mani gates and bloedorn 1999 jing and mckeown 2000 barzilay et al 2000 knight and marcu 2000 ,0,1,0
additionally some research has explored cutting and pasting segments of text from the full document to generate a summary jing and mckeown 2000 ,0,1,0
but in fact the issue of editing in text summarization has usually been neglected notable exceptions being the works by jing and mckeown 2000 and mani gates and bloedorn 1999 ,1,0,0
jing and mckeown 2000 and jing 2000 propose a cutandpaste strategy as a computational process of automatic abstracting and a sentence reduction strategy to produce concise sentences ,0,1,0
jing and mckeown 2000 have proposed a rulebased algorithm for sentence combination but no results have been reported ,0,0,1
as previously observed in the literature mani gates and bloedorn 1999 jing and mckeown 2000 such components include a clause in the clause conjunction relative clauses and some elements within a clause such as adverbs and prepositions ,0,1,0
