CITATION,Positive,Objective,Negative
automatic text summarization approaches have offered reasonably wellperforming approximations for identifiying important sentences lin and hovy 2002 schiffman et al 2002 erkan and radev 2004 mihalcea and tarau 2004 daume iii and marcu 2006 but not surprisingly text regeneration has been a major challange despite some work on subsentential modification jing and mckeown 2000 knight and marcu 2000 barzilay and mckeown 2005 ,0,1,0
additionally some research has explored cutting and pasting segments of text from the full document to generate a summary jing and mckeown 2000 ,0,1,0
but in fact the issue of editing in text summarization has usually been neglected notable exceptions being the works by jing and mckeown 2000 and mani gates and bloedorn 1999 ,1,0,0
jing and mckeown 2000 and jing 2000 propose a cutandpaste strategy as a computational process of automatic abstracting and a sentence reduction strategy to produce concise sentences ,0,1,0
our work in sentence reformulation is different from cutandpaste summarization jing and mckeown 2000 in many ways ,0,1,0
jing and mckeown 2000 have proposed a rulebased algorithm for sentence combination but no results have been reported ,0,0,1
as previously observed in the literature mani gates and bloedorn 1999 jing and mckeown 2000 such components include a clause in the clause conjunction relative clauses and some elements within a clause such as adverbs and prepositions ,0,1,0
to contrast jing mckeown 2000 concentrated on analyzing humanwritten summaries in order to determine how professionals construct summaries ,0,1,0
first splitting and merging of sentences jing and mckeown 2000 which seems related to content planning and aggregation ,0,1,0
one of the applications is in automatic summarization in order to compress sentences extracted for the summary lin 2003 jing and mckeown 2000 ,0,1,0
in cutandpaste summarization jing and mckeown 2000 sentence combination operations were implemented manually following the study of a set of professionally written abstracts however the particular pasting operation presented here was not implemented ,0,1,0
close to the problem studied here is jing and mckeowns jing and mckeown 2000 cutandpaste method founded on endresniggemeyers observations ,0,1,0
jing and mckeown 1999 2000 found that human summarization can be traced back to six cutandpaste operations of a text and proposed a revision method consisting of sentence reduction and combination modules with a sentence extraction part ,0,1,0
the specialist minimal commitment parser relies on the specialist lexicon as well as the xerox stochastic tagger cutting et al 1992 ,0,1,0
recent comparisons of approaches that can be trained on corpora van halteren et al 1998 volk and schneider 1998 have shown that in most cases statistical aproaches cutting et al 1992 schmid 1995 ratnaparkhi 1996 yield better results than finitestate rulebased or memorybased taggers brill 1993 daelemans et al 1996 ,1,0,0
the two systems we use are engcg karlsson et al 1994 and the xerox tagger cutting et al 1992 ,0,1,0
22 xerox tagger the xerox tagger 1 xt cutting et al 1992 is a statistical tagger made by doug cutting julian kupiec jan pedersen and penelope sibun in xerox parc ,0,1,0
the xerox experiments cutting et al 1992 correspond to something between d1 and d2 and between to and t1 in that there is some initial biasing of the probabilities ,0,1,0
all 8907 articles were tagged by the xerox partofspeech tagger cutting et al 1992 4 ,0,1,0
for czech we created a prototype of the first step of this process the partofspeech pos tagger using rank xerox tools tapanainen 1995 cutting et al 1992 ,0,1,0
5 related work cutting introduced grouping of words into equivalence classes based on the set of possible tags to reduce the number of the parameters cutting et al 1992 schmid used tile equivaleuce classes for smoothing ,0,1,0
in this paper a new partofspeech tagging method hased on neural networks nettagger is presented and its performance is compared to that of a llmmtagger cutting et al 1992 and a trigrambased tagger kempe 1993 ,0,1,0
the performance of tle presented tagger is measured and compared to that of two other taggers cutting et al 1992 kempe 1993 ,0,1,0
no documentation of tile construction algorithm of the sulix lexicon in cutting et al 1992 was available ,0,1,0
it is a natural extension of the viterii algorithm church 188 cutting et al 1992 for those languages that do not have delimiters between words and it can generate nbest morphological analysis hypotheses like tree trellis search soong and luang 1991 ,0,1,0
derose 1988 cutting et al 1992 merialdo 1994 ,0,1,0
52 assigning complex ambiguity tags in the tagging literature eg cutting et al 1992 an ambiguity class is often composed of the set of every possible tag for a word ,0,1,0
the corpus lines retained are partofspeech tagged cutting et al 1992 ,0,1,0
no pretagged text is necessary for hidden markov models jelinek 1985 cutting et al 1991 kupiec 1992 ,0,1,0
we obtained 47025 50dimensional reduced vectors from the svd and clustered them into 200 classes using the fast clustering algorithm buckshot cutting et al 1992 group average agglomeration applied to a sample ,0,1,0
3 the statistical model we use the xerox partofspeech tagger cutting et al 1992 a statistical tagger made at the xerox palo alto research center ,0,1,0
this corpusbased information typically concerns sequences of 13 tags or words with some wellknown exceptions eg cutting et al 1992 ,0,1,0
157 ena or the linguists abstraction capabilities eg knowledge about what is relevant in the context they tend to reach a 9597 accuracy in the analysis of several languages in particular english marshall 1983 black et al 1992 church 1988 cutting et al 1992 de marcken 1990 derose 1988 hindle 1989 merialdo 1994 weischedel et al 1993 brill 1992 samuelsson 1994 eineborg and gambick 1994 etc ,0,1,0
on the other hand according to the datadriven approach a frequencybased language model is acquired from corpora and has the forms of ngrams church 1988 cutting et al 1992 rules hindle 1989 brill 1995 decision trees cardie 1994 daelemans et al 1996 or neural networks schmid 1994 ,0,1,0
pos disambiguation has usually been performed by statistical approaches mainly using the hidden markov model hmm in english research communities cutting et al 1992 kupiec 1992 weischedel et al 1993 ,0,1,0
the main application of these techniques to written input has been in the robust lexical tagging of corpora with partofspeech labels eg garside leech and sampson 1987 de rose 1988 meteer schwartz and weischedel 1991 cutting et al 1992 ,0,1,0
almost all recent work in developing automatically trained partofspeech taggers has been on further exploring markovmodel based tagging jelinek 1985 church 1988 derose 1988 demarcken 1990 merialdo 1994 cutting et al 1992 kupiec 1992 charniak et al 1993 weischedel et al 1993 schutze and singer 1994 ,0,1,0
as the baseline standard we took the endingguessing rule set supplied with the xerox tagger cutting et al 1992 ,0,1,0
the xerox tagger cutting et al 1992 comes with a set of rules that assign an unknown word a set of possible postags ie posclass on the basis of its ending segment ,0,1,0
in such cases additional information may be coded into the hmm model to achieve higher accuracy cutting et al 1992 ,0,1,0
stochastic models cutting et al 1992 dermatas et al 1995 brants 2000 have been widely used in pos tagging for simplicity and language independence of the models ,1,0,0
1 motivation statistical partofspeech disambiguation can be efficiently done with ngram models church 1988 cutting et al 1992 ,1,0,0
2000 that draws on a stochastic tagger see cutting et al 1992 for details as well as the specialist lexicon5 a large syntactic lexicon of both general and medical english that is distributed with the umls ,0,1,0
the prime public domain examples of such implementations include the trigramsntags tagger brandts 2000 xerox tagger cutting et al 1992 and lt pos tagger mikheev 1997 ,0,1,0
the initial phase relies on a parser that draws on the specialist lexicon mccray et al 1994 and the xerox partofspeech tagger cutting et al 1992 to produce an underspecified categorial analysis ,0,1,0
brills results demonstrate that this approach can outperform the hidden markov model approaches that are frequently used for partofspeech tagging jelinek 1985 church 1988 derose 1988 cutting et al 1992 weischedel et al 1993 as well as showing promise for other applications ,0,0,1
it is possible to use unsupervised learning to train stochastic taggers without the need for a manually annotated corpus by using the baumwelch algorithm baum 1972 jelinek 1985 cutting et al 1992 kupiec 1992 elworthy 1994 merialdo 1995 ,0,1,0
this method is employed in kupiec 1992 cutting et al 1992 ,0,1,0
almost all of the work in the area of automatically trained taggers has explored markovmodel based part of speech tagging jelinek 1985 church 1988 derose 1988 demarcken 1990 cutting et al 1992 kupiec 1992 charniak et al 1993 weischedel et al 1993 schutze and singer 1994 lin et al 1994 elworthy 1994 merialdo 1995 ,0,1,0
1 introduction in the partofspeech hterature whether taggers are based on a rulebased approach klein and simmons 1963 brill 1992 voutilainen 1993 or on a statistical one bahl and mercer 1976 leech et al 1983 merialdo 1994 derose 1988 church 1989 cutting et al 1992 there is a debate as to whether more attention should be paid to lexical probabilities rather than contextual ones ,0,1,0
chanod and tapanainen 1995 compare two tagging frameworks for tagging french one that is statistical built upon the xerox tagger cutting et al 1992 and another based on linguistic constraints only ,0,1,0
generalized forward backward reestimation generalization of the forward and viterbi algorithm in english part of speech taggers the maximization of equation 1 to get the most likely tag sequence is accomplished by the viterbi algorithm church 1988 and the maximum likelihood estimates of the parameters of equation 2 are obtained from untagged corpus by the forwardbackward algorithm cutting et al 1992 ,0,1,0
cutting et al 1992 feldweg 1995 the tagger for grammatical functions works with lexical and contextual probability measures pq ,0,1,0
in our experiments we used the hidden markov model hmm tagging method described in cutting et al 1992 ,0,1,0
